date,Strategy,SPY JPY,QQQ JPY,Static Equal Weight,Strategy Drawdown,SPY JPY Drawdown,QQQ JPY Drawdown,Static Equal Weight Drawdown
2016-08-19,184156.14224370816,135042.320160308,250421.7428732728,178722.1226814362,-0.22008022965366225,-0.1575252773256235,-0.16529579156076002,-0.12323672619593551
2016-08-22,184418.88653096705,135632.3346869812,251721.72403252838,179577.83718511395,-0.21896748119096054,-0.1538444139922419,-0.16096270238059462,-0.11903881807784844
2016-08-23,184133.24089906464,135495.89752764194,251415.32734762717,179197.9602111617,-0.220177219149844,-0.15469559055556203,-0.1619839819204798,-0.12090239363485344
2016-08-24,183187.8610214888,134883.53146083854,249928.56433534255,178269.97721418698,-0.22418099794334878,-0.1585158961582277,-0.16693965122086396,-0.1254548317899905
2016-08-25,183323.8558083623,135114.50278813503,250118.7465863449,178483.12373472645,-0.22360504635327727,-0.157074958941814,-0.16630573691509842,-0.12440919156177299
2016-08-26,183199.55006164312,134864.0595562751,250493.3178219194,178236.3348698326,-0.2241314936835307,-0.15863737353937413,-0.16505721838349263,-0.1256198721975912
2016-08-29,184585.1675126964,137368.54505041518,254243.8826420414,181216.86583288832,-0.2182632645218705,-0.1430128958229595,-0.1525558588631084,-0.11099817877969764
2016-08-30,183579.8814953145,136992.0844637641,253136.1491115,180342.39230235846,-0.22252075183810294,-0.14536148201401589,-0.15624814943326093,-0.11528811370201819
2016-08-31,184328.2483687463,138023.38726718802,255504.1245232237,181897.6400491541,-0.2193513429172247,-0.13892759860415982,-0.14835522839945658,-0.10765848125585775
2016-09-01,184085.2142926493,138612.09172898732,257247.6550246399,183040.06885690062,-0.22038061665475261,-0.13525490823863018,-0.1425437032883532,-0.10205402889965298
2016-09-02,184085.2142926493,139177.65453788583,257980.7513015845,183666.67755496516,-0.22038061665475261,-0.13172658933818404,-0.1401001513006711,-0.09898005302433033
2016-09-06,184085.2142926493,139939.62964788426,260233.10027389677,185541.49155174568,-0.22038061665475261,-0.1269729330864353,-0.13259263560138845,-0.08978271341729749
2016-09-07,184085.2142926493,137242.86216299018,255395.25937511591,181872.1491854391,-0.22038061665475261,-0.143796980809078,-0.14871809703951677,-0.10778353266408602
2016-09-08,184085.2142926493,137339.55084007845,254651.07562871103,181576.79252538187,-0.22038061665475261,-0.14319377904003994,-0.15119860571200283,-0.10923247400568592
2016-09-09,184085.2142926493,134680.29299372726,249362.5158225608,179667.5111736075,-0.22038061665475261,-0.15978381921385265,-0.16882640063159227,-0.1185989013034332
2016-09-12,184085.2142926493,136788.8655553577,254194.114274111,181320.77450865047,-0.22038061665475261,-0.1466292830507473,-0.1527217464800621,-0.11048843040959644
2016-09-13,184085.2142926493,133918.26292780766,250216.77260097125,178588.809827045,-0.22038061665475261,-0.16453781831349068,-0.16597899720788956,-0.12389072365804321
2016-09-14,184085.2142926493,134858.69646810068,253279.2166920392,180367.17169432915,-0.22038061665475261,-0.15867083168950857,-0.1557712774564226,-0.11516655258523456
2016-09-15,184085.2142926493,136264.79946928105,257352.05423838896,181311.13805828028,-0.22038061665475261,-0.1498987205871164,-0.14219572047314621,-0.11053570427613102
2016-09-16,184085.2142926493,135023.33043424872,255873.62837204567,180098.66160738672,-0.22038061665475261,-0.15764374658901037,-0.1471236004501124,-0.11648379176830248
2016-09-19,184085.2142926493,135444.48445060567,255500.28636363096,180452.09031876078,-0.22038061665475261,-0.1550163360653144,-0.1483680217293326,-0.11474996436410911
2016-09-20,184085.2142926493,134840.4854524129,254831.3860234279,179839.01264098182,-0.22038061665475261,-0.15878444289207816,-0.15059759621670643,-0.11775756064710419
2016-09-21,184085.2142926493,135956.50302839567,256597.43294780274,180986.92572132574,-0.22038061665475261,-0.1518220580877464,-0.14471101950350607,-0.11212620390589767
2016-09-22,184085.2142926493,135258.46780907517,255713.1347934933,179808.76709916565,-0.22038061665475261,-0.15617681907760417,-0.14765855665602357,-0.11790593724348108
2016-09-23,184085.2142926493,135104.22686265272,255178.94586965832,180103.52685032287,-0.22038061665475261,-0.15713906630801333,-0.14943911188142311,-0.1164599241784342
2016-09-26,184085.2142926493,134086.6649500275,253175.36046598357,179556.97367711022,-0.22038061665475261,-0.16348722582663888,-0.15611745038839964,-0.11914116890776227
2016-09-27,184085.2142926493,134210.3052718856,254351.74236616716,179077.09636384703,-0.22038061665475261,-0.16271588358559097,-0.15219634149606232,-0.12149531957410631
2016-09-28,184085.2142926493,135022.960529768,255060.60156392318,179405.68040582194,-0.22038061665475261,-0.15764605427429346,-0.14983357639120787,-0.1198833735204261
2016-09-29,184085.2142926493,134423.30707086375,254377.32754192394,179477.77555625557,-0.22038061665475261,-0.16138705102917272,-0.15211106114607031,-0.11952969385743184
2016-09-30,184085.2142926493,135791.92405366473,256959.97231618088,180355.95081389358,-0.22038061665475261,-0.15284880011891033,-0.1435026055174119,-0.11522159924492081
2016-10-03,184085.2142926493,135952.73123863578,257512.5185614132,180605.25929105544,-0.22038061665475261,-0.15184558876707843,-0.141660861781581,-0.11399855806040471
2016-10-04,184085.2142926493,135597.94290963336,257761.95687178528,178977.43184236097,-0.22038061665475261,-0.1540589704590517,-0.14082943554428773,-0.12198424725037382
2016-10-05,184085.2142926493,137619.93205304103,261383.33841927338,181038.55461124852,-0.22038061665475261,-0.14144459341916682,-0.1287586689112873,-0.1118729262821071
2016-10-06,184085.2142926493,138492.05871442865,262723.28090186475,181561.3922288504,-0.22038061665475261,-0.13600374594026354,-0.12429238089470895,-0.10930802377088511
