date,SPY_jpy_price,QQQ_jpy_price,GLD_jpy_price,IEF_jpy_price,Strategy_equity,USDJPY
2012-09-04,9037.245328301477,4675.436758927971,12885.198208007812,6269.582544628698,91232.06943914943,78.33899688720703
2012-09-05,9044.655590635075,4678.381746717095,12893.40590057373,6277.745658723814,91298.18608194299,78.47000122070312
2012-09-06,9222.992743473787,4780.464678578556,12931.457698059083,6230.827692985006,93194.54910436073,78.41999816894531
2012-09-07,9317.633608138494,4802.116252987596,13288.231497192382,6276.339655625081,93882.88543008357,78.88999938964844
2012-09-10,9182.07833352402,4699.505443258375,13085.256806106567,6225.8487570148,92196.80735377148,78.21900177001953
2012-09-11,9207.214999312946,4692.291038850301,13134.145051574707,6214.834952674524,92252.84459062354,78.22599792480469
2012-09-12,9182.9892082345,4677.67373725925,13055.779999999999,6146.5425773444995,91987.90253810969,77.75
2012-09-13,9339.50189054753,4746.5703024273225,13334.6142137146,6170.71087972127,93449.82980785781,77.83000183105469
2012-09-14,9351.960358828908,4778.185061429223,13339.926850891114,6098.281055768289,93821.73018856594,77.64800262451172
2012-09-17,9402.42407328638,4822.422453448655,13347.943231201172,6164.824200874398,94508.45932370087,78.33300018310547
2012-09-18,9435.511907353926,4847.541884060274,13508.94023262024,6207.291641128278,94920.7302736953,78.6729965209961
2012-09-19,9454.877394689533,4862.604301281117,13527.959223480226,6229.508851873183,95165.54889774036,78.7699966430664
2012-09-20,9410.74772298763,4834.709693824651,13442.734134216309,6203.489528061661,94670.53348118957,78.39700317382812
2012-09-21,9332.08788778592,4823.965959148948,13447.271475219728,6201.202430359843,94169.34429470138,78.19999694824219
2012-09-24,9298.607595488915,4787.731636112009,13357.926713256837,6205.545788541979,93646.40458033836,78.08000183105469
2012-09-25,9183.715115638759,4706.935960661502,13293.72044906616,6211.41277491654,92277.71301253937,77.86399841308594
2012-09-26,9110.45186575655,4659.98397165015,13198.991141052245,6226.431832821455,91449.6207366072,77.72799682617188
2012-09-27,9197.820771765446,4723.172447082133,13392.026943359377,6210.81231817615,92507.52463708805,77.697998046875
2012-09-28,9137.251356734077,4678.460818253844,13350.472304992676,6203.778217215171,91765.2662256507,77.61000061035156
2012-10-01,9198.108564103673,4692.562332132284,13436.233586883545,6243.29508247008,92207.4711409648,77.95899963378906
2012-10-02,9224.381044790829,4711.386233575788,13430.856163024902,6245.816632767131,92523.97719256216,78.04100036621094
2012-10-03,9281.415181118064,4752.512328917419,13485.047518615722,6266.113234745249,93213.63744668661,78.21499633789062
2012-10-04,9382.119777486472,4781.410575036932,13613.628308944702,6257.166837868128,94002.82551527693,78.41500091552734
2012-10-05,9381.387601572296,4759.77916378494,13547.908280181886,6234.194031633548,93787.10757553161,78.48400115966797
