date,cash_jpy,equity_jpy,QUAL_value_jpy,QUAL_weight,USMV_value_jpy,USMV_weight,SPY_value_jpy,SPY_weight,QQQ_value_jpy,QQQ_weight,market_weight
2014-04-01,0.024859351295162924,99103.1346589546,49377.02433763119,0.4982387742582839,49726.085461972114,0.501760974898477,0.0,0.0,0.0,0.0,0.9999997491567609
2014-04-02,0.024859351295162924,99761.78939560759,49709.26851399081,0.49827964008211206,50052.49602226548,0.5017201107307848,0.0,0.0,0.0,0.0,0.9999997508128969
2014-04-03,0.024859351295162924,99807.17741242227,49627.77335470419,0.4972365178671748,50179.37919836679,0.5027632330590418,0.0,0.0,0.0,0.0,0.9999997509262165
2014-04-04,0.024859351295162924,98652.50945999841,48875.2890827624,0.4954287463166898,49777.19551788471,0.5045710016942686,0.0,0.0,0.0,0.0,0.9999997480109586
2014-04-07,0.024859351295162924,97340.20119629278,48183.85601362375,0.4950046889307112,49156.320323317734,0.5049950556830147,0.0,0.0,0.0,0.0,0.999999744613726
2014-04-08,0.024859351295162924,97336.38627197906,48093.01632857123,0.49409083458460096,49243.345084056535,0.5059089100191156,0.0,0.0,0.0,0.0,0.9999997446037165
2014-04-09,0.024859351295162924,97303.90039472778,48238.80063777123,0.49575402879106945,49065.07489760526,0.5042457157273805,0.0,0.0,0.0,0.0,0.99999974451845
2014-04-10,0.024859351295162924,95839.66517345498,47410.40294202664,0.4946845636013141,48429.23737207705,0.5053151770138973,0.0,0.0,0.0,0.0,0.9999997406152114
2014-04-11,0.024859351295162924,94220.83858937585,46488.36331012976,0.4933978937794308,47732.45041989479,0.5066018423792399,0.0,0.0,0.0,0.0,0.9999997361586708
2014-04-14,0.024859351295162924,94983.26890859961,46869.41587025728,0.4934491769846196,48113.82817899104,0.5065505612919046,0.0,0.0,0.0,0.0,0.9999997382765241
2014-04-15,0.024859351295162924,96107.66814833118,47488.937722426046,0.4941222551475529,48618.70556655385,0.5058774861909712,0.0,0.0,0.0,0.0,0.999999741338524
2014-04-16,0.024859351295162924,97111.12301705309,48029.14700029509,0.49457925630065036,49081.95115740671,0.5054204877106377,0.0,0.0,0.0,0.0,0.9999997440112881
2014-04-17,0.024859351295162924,97542.57069939177,48277.20646382955,0.49493473585611153,49265.339376210926,0.505065009287459,0.0,0.0,0.0,0.0,0.9999997451435705
2014-04-21,0.024859351295162924,98140.19479672173,48551.13303439836,0.49471201004810067,49589.03690297208,0.5052877366474164,0.0,0.0,0.0,0.0,0.9999997466955171
2014-04-22,0.024859351295162924,98624.97399212318,48873.0492881326,0.49554435666605007,49751.89984463929,0.5044553912745547,0.0,0.0,0.0,0.0,0.9999997479406048
2014-04-23,0.024859351295162924,98260.7782302916,48614.81398087661,0.49475299154398256,49645.93939006371,0.5052467554623842,0.0,0.0,0.0,0.0,0.9999997470063667
2014-04-24,0.024859351295162924,98087.10777443471,48591.460861557025,0.495390902679076,49495.6220535264,0.5046088438793469,0.0,0.0,0.0,0.0,0.9999997465584228
2014-04-25,0.024859351295162924,97456.83075532758,48142.777435687516,0.493990796361452,49314.02846028878,0.5060089485579027,0.0,0.0,0.0,0.0,0.9999997449193545
2014-04-28,0.024859351295162924,97883.13495154415,48404.99583050151,0.4945182421309229,49478.11426169134,0.5054815038993681,0.0,0.0,0.0,0.0,0.9999997460302911
2014-04-29,0.024859351295162924,98641.9621872999,48841.46185040256,0.49513879050442156,49800.47547754604,0.504860957479593,0.0,0.0,0.0,0.0,0.9999997479840147
2014-04-30,0.024859351295162924,98982.27830118847,48953.02767809474,0.494563557419217,50029.22576374244,0.505436191431267,0.0,0.0,0.0,0.0,0.9999997488504839
2014-05-01,0.024859351295162924,98723.30488785685,48875.50276145592,0.49507563403570476,49847.777267049634,0.5049241141559575,0.0,0.0,0.0,0.0,0.9999997481916623
2014-05-02,0.024859351295162924,98501.11783642056,48767.44076596659,0.4950953028467555,49733.652211102664,0.5049044447769075,0.0,0.0,0.0,0.0,0.9999997476236632
2014-05-05,0.024859351295162924,98785.65048457435,48961.250253851336,0.49563119758468127,49824.375371371716,0.5043685507659023,0.0,0.0,0.0,0.0,0.9999997483505836
2014-05-06,0.024859351295162924,97974.70462540627,48534.16215697497,0.4953744167184695,49440.51760908001,0.5046253295491882,0.0,0.0,0.0,0.0,0.9999997462676576
2014-05-07,0.024859351295162924,97449.90515200437,47933.78069871521,0.49188124528132793,49516.09959393787,0.5081184996198984,0.0,0.0,0.0,0.0,0.9999997449012263
