month,date,equity_jpy,return,year
2018-08,2018-08-31,182034.4692746886,0.0340163033598746,2018
2018-09,2018-09-28,188048.79895996946,0.03303951009522965,2018
2018-10,2018-10-31,176627.85673775946,-0.06073392803025135,2018
2018-11,2018-11-30,180896.53404399552,0.024167633492681695,2018
2018-12,2018-12-31,162681.06995744657,-0.1006954842049036,2018
2019-01,2019-01-31,171858.5354365508,0.05641385000421262,2019
2019-02,2019-02-28,181987.23913261053,0.05893628541830087,2019
2019-03,2019-03-29,186379.25033517243,0.024133621804996563,2019
2019-04,2019-04-30,193772.70320603988,0.039668862588359666,2019
2019-05,2019-05-31,181857.48786015026,-0.06149068031125149,2019
2019-06,2019-06-28,189977.922517553,0.04465273744266951,2019
2019-07,2019-07-31,194331.8448149331,0.02291804352675686,2019
2019-08,2019-08-30,190367.35613774476,-0.020400612575688926,2019
2019-09,2019-09-30,195779.73128520732,0.028431214559424323,2019
2019-10,2019-10-31,199218.22542628713,0.01756307518918132,2019
2019-11,2019-11-29,206391.9525154987,0.03600939157981764,2019
2019-12,2019-12-31,209927.09908721782,0.01712831594755926,2019
2020-01,2020-01-31,211675.6361775835,0.008329258575803244,2020
2020-02,2020-02-28,194987.1601202345,-0.07883985308232799,2020
2020-03,2020-03-31,170304.36115585914,-0.12658679140285578,2020
2020-04,2020-04-30,186213.82868881634,0.09341785157455362,2020
2020-05,2020-05-29,197355.25114971018,0.059831337658130535,2020
2020-06,2020-06-30,196354.30042376564,-0.005071822108169921,2020
2020-07,2020-07-31,200139.21899143013,0.019275964720385508,2020
2020-08,2020-08-31,211447.74492890807,0.05650329802657095,2020
2020-09,2020-09-30,206576.28440663894,-0.023038602392789764,2020
2020-10,2020-10-30,198444.88579418132,-0.03936269178145935,2020
2020-11,2020-11-30,216746.19511343658,0.09222363804445233,2020
2020-12,2020-12-31,221247.9348158316,0.02076963657903641,2020
2021-01,2021-01-29,217523.506636499,-0.01683373082073214,2021
2021-02,2021-02-26,225001.0050088209,0.034375587668405316,2021
2021-03,2021-03-31,245643.89829281517,0.09174578257188215,2021
2021-04,2021-04-30,253199.59750057312,0.030758749801109708,2021
2021-05,2021-05-28,257714.7209400673,0.017832269419322255,2021
2021-06,2021-06-30,266047.8943442421,0.03233487545367164,2021
2021-07,2021-07-30,272439.8622558549,0.02402562864617952,2021
2021-08,2021-08-31,280215.05521758576,0.028539116476387738,2021
2021-09,2021-09-30,268963.6814255414,-0.04015263842018668,2021
2021-10,2021-10-29,291036.4262943751,0.0820658936249139,2021
2021-11,2021-11-30,287658.4073037709,-0.011606859779082934,2021
2021-12,2021-12-31,305823.3984851021,0.0631477847339561,2021
2022-01,2022-01-31,286537.155663538,-0.06306333301211942,2022
2022-02,2022-02-28,277050.62991658,-0.03310748906189831,2022
2022-03,2022-03-31,306455.72064230934,0.10613616267388837,2022
2022-04,2022-04-29,306254.5960533296,-0.0006562924932783654,2022
2022-05,2022-05-31,298985.6283200332,-0.023735048639174083,2022
2022-06,2022-06-30,298810.2487559966,-0.0005865819204154965,2022
2022-07,2022-07-29,315041.4362041827,0.0543193799936903,2022
2022-08,2022-08-31,311657.8050854058,-0.01074027327815974,2022
2022-09,2022-09-30,297111.5640191579,-0.046673758298020895,2022
2022-10,2022-10-31,328377.1043179538,0.1052316506158606,2022
2022-11,2022-11-30,328920.1085785591,0.0016535996373228112,2022
2022-12,2022-12-30,300312.49337048706,-0.08697435779071394,2022
2023-01,2023-01-31,307562.768062053,0.024142434469489382,2023
2023-02,2023-02-28,311312.1048046928,0.012190476650552506,2023
2023-03,2023-03-31,316794.9275801091,0.017611980680468653,2023
2023-04,2023-04-28,323317.4815152441,0.020589199407195835,2023
2023-05,2023-05-31,333794.86269779876,0.03240586043616278,2023
2023-06,2023-06-30,364698.31427442783,0.09258216656440132,2023
2023-07,2023-07-31,363671.33013744495,-0.002815982681537932,2023
2023-08,2023-08-31,375450.3527820344,0.03238919779609151,2023
2023-09,2023-09-29,368559.7559197406,-0.018352884239515088,2023
2023-10,2023-10-31,363676.99550682306,-0.013248219140835404,2023
2023-11,2023-11-30,385618.9859008344,0.06033373203447412,2023
2023-12,2023-12-29,384765.4624452395,-0.0022133854576713574,2023
2024-01,2024-01-31,409819.5967785137,0.06511534110689565,2024
2024-02,2024-02-29,436971.3544916867,0.0662529511194827,2024
2024-03,2024-03-28,451751.5319572598,0.03382413358140224,2024
2024-04,2024-04-30,447492.6823091349,-0.009427416061375538,2024
2024-05,2024-05-31,468550.675816826,0.04705773823837389,2024
2024-06,2024-06-28,491814.2145659008,0.04964999508008261,2024
2024-07,2024-07-31,477186.8735884054,-0.02974159864493997,2024
