month,date,equity_jpy,return,year
2015-02,2015-02-27,101124.62342807837,0.0,2015
2015-03,2015-03-31,101124.62342807837,0.0,2015
2015-04,2015-04-30,101124.62342807837,0.0,2015
2015-05,2015-05-29,101124.62342807837,0.0,2015
2015-06,2015-06-30,101124.62342807837,0.0,2015
2015-07,2015-07-31,101124.62342807837,0.0,2015
2015-08,2015-08-31,101124.62342807837,0.0,2015
2015-09,2015-09-30,101124.62342807837,0.0,2015
2015-10,2015-10-30,101124.62342807837,0.0,2015
2015-11,2015-11-30,101124.62342807837,0.0,2015
2015-12,2015-12-31,101124.62342807837,0.0,2015
2016-01,2016-01-29,101124.62342807837,0.0,2016
2016-02,2016-02-29,101124.62342807837,0.0,2016
2016-03,2016-03-31,101124.62342807837,0.0,2016
2016-04,2016-04-29,101124.62342807837,0.0,2016
2016-05,2016-05-31,101124.62342807837,0.0,2016
2016-06,2016-06-30,101124.62342807837,0.0,2016
2016-07,2016-07-29,101124.62342807837,0.0,2016
2016-08,2016-08-31,101124.62342807837,0.0,2016
2016-09,2016-09-30,101124.62342807837,0.0,2016
2016-10,2016-10-31,101124.62342807837,0.0,2016
2016-11,2016-11-30,101124.62342807837,0.0,2016
2016-12,2016-12-30,101124.62342807837,0.0,2016
2017-01,2017-01-31,101124.62342807837,0.0,2017
2017-02,2017-02-28,101124.62342807837,0.0,2017
2017-03,2017-03-31,101124.62342807837,0.0,2017
2017-04,2017-04-28,101124.62342807837,0.0,2017
2017-05,2017-05-31,101124.62342807837,0.0,2017
2017-06,2017-06-30,101124.62342807837,0.0,2017
2017-07,2017-07-31,101124.62342807837,0.0,2017
2017-08,2017-08-31,101124.62342807837,0.0,2017
2017-09,2017-09-29,101124.62342807837,0.0,2017
2017-10,2017-10-31,101124.62342807837,0.0,2017
2017-11,2017-11-30,101124.62342807837,0.0,2017
2017-12,2017-12-29,101124.62342807837,0.0,2017
2018-01,2018-01-31,101124.62342807837,0.0,2018
2018-02,2018-02-28,101046.6884634569,-0.0007706823717064104,2018
2018-03,2018-03-29,101046.6884634569,0.0,2018
2018-04,2018-04-30,101046.6884634569,0.0,2018
2018-05,2018-05-31,101046.6884634569,0.0,2018
2018-06,2018-06-29,101046.6884634569,0.0,2018
2018-07,2018-07-31,101046.6884634569,0.0,2018
2018-08,2018-08-31,101046.6884634569,0.0,2018
2018-09,2018-09-28,101046.6884634569,0.0,2018
2018-10,2018-10-31,101046.6884634569,0.0,2018
2018-11,2018-11-30,101046.6884634569,0.0,2018
2018-12,2018-12-31,101046.6884634569,0.0,2018
2019-01,2019-01-31,101046.6884634569,0.0,2019
2019-02,2019-02-28,101046.6884634569,0.0,2019
2019-03,2019-03-29,101046.6884634569,0.0,2019
2019-04,2019-04-30,101046.6884634569,0.0,2019
2019-05,2019-05-31,101046.6884634569,0.0,2019
2019-06,2019-06-28,101046.6884634569,0.0,2019
2019-07,2019-07-31,101046.6884634569,0.0,2019
2019-08,2019-08-30,101046.6884634569,0.0,2019
2019-09,2019-09-30,101046.6884634569,0.0,2019
2019-10,2019-10-31,101046.6884634569,0.0,2019
2019-11,2019-11-29,101046.6884634569,0.0,2019
2019-12,2019-12-31,101046.6884634569,0.0,2019
2020-01,2020-01-31,101046.6884634569,0.0,2020
2020-02,2020-02-28,96482.41880766203,-0.04516990833841639,2020
2020-03,2020-03-31,96482.41880766203,0.0,2020
2020-04,2020-04-30,96482.41880766203,0.0,2020
2020-05,2020-05-29,96482.41880766203,0.0,2020
2020-06,2020-06-30,97339.06727978503,0.008878803855765005,2020
2020-07,2020-07-31,97339.06727978503,0.0,2020
2020-08,2020-08-31,97339.06727978503,0.0,2020
2020-09,2020-09-30,97503.57472974196,0.001690045472534596,2020
2020-10,2020-10-30,97315.6083551221,-0.0019277895722373817,2020
2020-11,2020-11-30,99385.06650532658,0.021265428898647576,2020
2020-12,2020-12-31,99385.06650532658,0.0,2020
2021-01,2021-01-29,99385.06650532658,0.0,2021
2021-02,2021-02-26,99385.06650532658,0.0,2021
2021-03,2021-03-31,99385.06650532658,0.0,2021
2021-04,2021-04-30,99385.06650532658,0.0,2021
2021-05,2021-05-28,99385.06650532658,0.0,2021
2021-06,2021-06-30,99385.06650532658,0.0,2021
2021-07,2021-07-30,99385.06650532658,0.0,2021
2021-08,2021-08-31,99385.06650532658,0.0,2021
2021-09,2021-09-30,99385.06650532658,0.0,2021
2021-10,2021-10-29,99385.06650532658,0.0,2021
2021-11,2021-11-30,99385.06650532658,0.0,2021
2021-12,2021-12-31,99385.06650532658,0.0,2021
2022-01,2022-01-31,99385.06650532658,0.0,2022
2022-02,2022-02-28,99385.06650532658,0.0,2022
2022-03,2022-03-31,99385.06650532658,0.0,2022
2022-04,2022-04-29,99385.06650532658,0.0,2022
2022-05,2022-05-31,99385.06650532658,0.0,2022
2022-06,2022-06-30,99385.06650532658,0.0,2022
