date,cash,shares,close_price,position_value,exposure_pct,equity,gross_cash,gross_shares,gross_position_value,gross_equity
2020-03-18,673.0137569720117,0.0,218.76298728,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-19,673.0137569720117,0.0,219.227858627,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-20,673.0137569720117,0.0,209.780010668,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-23,673.0137569720117,0.0,204.416317214,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-24,673.0137569720117,0.0,222.937104869,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-25,673.0137569720117,0.0,226.27451413,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-26,673.0137569720117,0.0,239.486620571,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-27,673.0137569720117,0.0,232.353366711,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-30,673.0137569720117,0.0,239.899212375,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-03-31,673.0137569720117,0.0,236.323416739,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-01,673.0137569720117,0.0,225.687716897,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-02,673.0137569720117,0.0,230.895542337,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-03,673.0137569720117,0.0,227.558133076,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-06,673.0137569720117,0.0,242.842367245,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-07,673.0137569720117,0.0,243.089922327,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-08,673.0137569720117,0.0,251.250071344,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-09,673.0137569720117,0.0,255.073422063,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-13,673.0137569720117,0.0,252.744570546,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-14,673.0137569720117,0.0,260.198729142,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-15,673.0137569720117,0.0,254.669998965,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-16,673.0137569720117,0.0,255.898605671,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-17,673.0137569720117,0.0,262.811810568,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-20,673.0137569720117,0.0,258.181613654,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-21,673.0137569720117,0.0,250.342369375,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-22,673.0137569720117,0.0,255.898605671,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-23,673.0137569720117,0.0,255.880268258,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-24,673.0137569720117,0.0,259.446895187,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-27,673.0137569720117,0.0,263.187727545,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-28,673.0137569720117,0.0,261.977458253,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-29,673.0137569720117,0.0,268.835650909,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-04-30,673.0137569720117,0.0,266.332593964,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-01,673.0137569720117,0.0,259.281858466,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-04,673.0137569720117,0.0,259.997017593,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-05,673.0137569720117,0.0,262.399218764,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-06,673.0137569720117,0.0,260.620489653,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-07,673.0137569720117,0.0,263.765356071,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-08,673.0137569720117,0.0,268.129660489,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-11,673.0137569720117,0.0,268.18467273,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-12,673.0137569720117,0.0,262.839316688,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-13,673.0137569720117,0.0,258.190782361,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-14,673.0137569720117,0.0,261.280636539,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-15,673.0137569720117,0.0,262.481737125,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-18,673.0137569720117,0.0,270.47684942,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-19,673.0137569720117,0.0,267.698731271,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-20,673.0137569720117,0.0,272.246409824,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-21,673.0137569720117,0.0,270.366824938,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-22,673.0137569720117,0.0,270.880272517,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
