entry_date,exit_date,exit_reason,return_pct,mae_pct,mfe_pct,max_adverse_price,max_favorable_price
2023-04-26,2023-05-01,RSI_EXIT,0.017802020062012324,-0.007724697840779671,0.026286620654803583,387.561788267,400.845891367
2023-05-05,2023-05-11,RSI_EXIT,0.0037740018952392685,-0.0011597121409215871,0.013249458515506074,392.226581696,397.884803356
2023-06-26,2023-06-29,RSI_EXIT,0.00405896524539361,-0.0038035394932162125,0.012576786822788621,415.408555091,422.239062884
2023-07-11,2023-07-13,RSI_EXIT,0.013219677442701456,-0.0027917134620381034,0.022034107252780544,423.356607178,433.896205946
2023-08-07,2023-08-14,TIME_EXIT,-0.012537643998343884,-0.012450272378129124,0.00616046637944323,427.118685166,435.16789428
2023-08-16,2023-08-23,TIME_EXIT,-0.010861918120329841,-0.02184693938833615,0.003385664216744688,417.161943551,427.923124377
2023-09-08,2023-09-15,RSI_EXIT,0.004915785975511248,-0.001437673880634982,0.01338406993511021,428.214561701,434.570586123
2023-09-22,2023-09-29,TIME_EXIT,-0.005430508114277558,-0.023982054526128893,0.003313813090950024,408.269500724,419.687395544
2023-10-23,2023-10-30,TIME_EXIT,-0.01799914833981707,-0.025272283189259892,0.011910336148484246,395.623771321,410.7155019
2024-01-04,2024-01-11,RSI_EXIT,0.016132247988268896,-0.004490921313219043,0.02045923439983177,452.772388541,464.12009178
2024-04-05,2024-04-12,RSI_EXIT,-0.003807689930163771,-0.010952091113877738,0.011720551883006136,495.708892129,507.07237679
2024-04-16,2024-04-23,TIME_EXIT,-0.00986881579206027,-0.0224319851800856,0.0025881818860775674,480.888649067,493.196656446
2024-07-22,2024-07-25,STOP_LOSS,-0.024623748435150812,-0.0286050464832015,0.006250943242871454,525.022091654,543.86114838
