month,date,equity_jpy,return,year
2013-08,2013-08-30,132232.0932570473,-0.0036166543694271525,2013
2013-09,2013-09-30,132627.46801932956,0.002990006076011298,2013
2013-10,2013-10-31,136293.51924218627,0.02764171915219249,2013
2013-11,2013-11-29,140596.67722552226,0.03157272632816466,2013
2013-12,2013-12-31,142623.893813319,0.01441866641375178,2013
2014-01,2014-01-31,140989.76140479837,-0.011457634235253478,2014
2014-02,2014-02-28,144374.4393488613,0.02400655132924956,2014
2014-03,2014-03-31,144304.5364676918,-0.00048417768051456367,2014
2014-04,2014-04-30,144842.55794242476,0.0037283753366508243,2014
2014-05,2014-05-30,144558.974560772,-0.001957873332818827,2014
2014-06,2014-06-30,147325.0755579674,0.019134758015542763,2014
2014-07,2014-07-31,147167.5779005138,-0.001069048543549611,2014
2014-08,2014-08-29,151792.3429367607,0.031425162404814744,2014
2014-09,2014-09-30,156494.51307621456,0.030977650443229976,2014
2014-10,2014-10-31,157527.7338357117,0.006602281058850634,2014
2014-11,2014-11-28,171862.07859718942,0.09099568953634063,2014
2014-12,2014-12-31,174860.03865844468,0.017443988142851863,2014
2015-01,2015-01-30,178561.48811298216,0.02116806951968897,2015
2015-02,2015-02-27,178705.40121992506,0.0008059582638102469,2015
2015-03,2015-03-31,178436.57291804336,-0.0015043098868112725,2015
2015-04,2015-04-30,176866.36978573297,-0.008799783063708544,2015
2015-05,2015-05-29,184750.24068249372,0.04457529662824977,2015
2015-06,2015-06-30,179878.8601863243,-0.02636738376184966,2015
2015-07,2015-07-31,181320.27709451254,0.00801326463095875,2015
2015-08,2015-08-31,176189.51115755382,-0.028296702493369352,2015
2015-09,2015-09-30,173059.559468335,-0.017764687969534787,2015
2015-10,2015-10-30,178983.46363863366,0.03423043597532427,2015
2015-11,2015-11-30,177444.4444598911,-0.008598666868185334,2015
2015-12,2015-12-31,172684.65746974913,-0.026824096999091163,2015
2016-01,2016-01-29,173395.2669361591,0.0041150700752581315,2016
2016-02,2016-02-29,171691.95287375778,-0.009823301941848661,2016
2016-03,2016-03-31,172429.7831703338,0.004297407561777433,2016
2016-04,2016-04-29,168231.48816090892,-0.024347852976638107,2016
2016-05,2016-05-31,170383.16378080565,0.012789969603304696,2016
2016-06,2016-06-30,163422.3877124211,-0.040853661323835055,2016
2016-07,2016-07-29,169705.26109192267,0.03844560997699853,2016
2016-08,2016-08-31,164682.6510219622,-0.029596077562026313,2016
2016-09,2016-09-30,162445.14121543252,-0.013586797350203406,2016
2016-10,2016-10-31,164571.7888531289,0.013091481972218766,2016
2016-11,2016-11-30,172596.8318196888,0.04876317516194595,2016
2016-12,2016-12-30,178381.14694995468,0.03351344905512943,2016
2017-01,2017-01-31,178163.4765896566,-0.0012202542926755822,2017
2017-02,2017-02-28,180884.10258745318,0.015270391271397843,2017
2017-03,2017-03-31,179015.19693612572,-0.010332061384022873,2017
2017-04,2017-04-28,180357.80012011694,0.007499939708863312,2017
2017-05,2017-05-31,181083.64546057428,0.004024474350285523,2017
2017-06,2017-06-30,181924.72051985233,0.004644677089081339,2017
2017-07,2017-07-31,182221.52513458312,0.001631469400544816,2017
2017-08,2017-08-31,185487.58534636814,0.017923569728509392,2017
2017-09,2017-09-29,187334.00590096726,0.00995441582330825,2017
2017-10,2017-10-31,189204.6544020626,0.009985632304709391,2017
2017-11,2017-11-30,189510.29228953604,0.0016153824991216315,2017
2017-12,2017-12-29,193063.04155955566,0.018746999052651425,2017
2018-01,2018-01-31,189829.20577748367,-0.01675015453993256,2018
2018-02,2018-02-28,183529.22909380245,-0.0331876049203198,2018
2018-03,2018-03-29,182613.97420106817,-0.0049869707253360485,2018
2018-04,2018-04-30,185107.25636929437,0.013653293397365873,2018
2018-05,2018-05-31,185587.67274147994,0.002595340569616189,2018
2018-06,2018-06-29,186838.11079215986,0.006737721488763837,2018
2018-07,2018-07-31,187509.01663289175,0.0035908404226920876,2018
2018-08,2018-08-31,188613.62801580157,0.005890977419354959,2018
2018-09,2018-09-28,191610.57003241454,0.015889318540449837,2018
2018-10,2018-10-31,187686.35952086147,-0.02048013588649733,2018
2018-11,2018-11-30,190373.87005090082,0.014319157433178464,2018
2018-12,2018-12-31,186544.0028549868,-0.02011760960099218,2018
2019-01,2019-01-31,189088.9201243812,0.013642450201804435,2019
2019-02,2019-02-28,192457.41544769044,0.017814345341299997,2019
2019-03,2019-03-29,193752.08453116813,0.006727041826193325,2019
2019-04,2019-04-30,196344.28813284787,0.013378971420886732,2019
