date,cash_jpy,quantity,position_value_jpy,equity_jpy,gross_equity_jpy,market_weight,usdjpy
2021-09-02,86004.71577592488,0.0,0.0,86004.71577592488,104897.35417306985,0.0,110.09600067138672
2021-09-03,86004.71577592488,0.0,0.0,86004.71577592488,104897.35417306985,0.0,109.94499969482422
2021-09-07,86004.71577592488,0.0,0.0,86004.71577592488,104897.35417306985,0.0,109.81999969482422
2021-09-08,86004.71577592488,0.0,0.0,86004.71577592488,104897.35417306985,0.0,110.2959976196289
2021-09-09,86004.71577592488,0.0,0.0,86004.71577592488,104897.35417306985,0.0,110.21800231933594
2021-09-10,64503.53683194366,0.4614612285452802,21090.544697571284,85594.08152951495,104469.0732339016,0.2464019044389038,109.78099822998048
2021-09-13,64503.53683194366,0.4614612285452802,21170.330810344854,85673.86764228852,104566.66043189137,0.2471037131034715,109.91500091552734
2021-09-14,64503.53683194366,0.4614612285452802,21071.217895755588,85574.75472769924,104445.43442797744,0.24623170656818905,109.99400329589844
2021-09-15,64503.53683194366,0.4614612285452802,21194.09733048886,85697.63416243251,104595.72950201143,0.24731251378908858,109.71900177001952
2021-09-16,64503.53683194366,0.4614612285452802,21095.698509791175,85599.23534173483,104475.37691352729,0.24644727754367846,109.38300323486328
2021-09-17,85500.97134868207,0.0,0.0,85500.97134868207,104427.80072991755,0.0,109.6989974975586
2021-09-20,85500.97134868207,0.0,0.0,85500.97134868207,104427.80072991755,0.0,109.97100067138672
2021-09-21,64125.72851151155,0.4735546587153526,21070.701662070893,85196.43017358244,104128.43479916448,0.24731906746727117,109.43699645996094
2021-09-22,64125.72851151155,0.4735546587153526,21220.2528504862,85345.98136199775,104311.60643515803,0.24863798519674649,109.14900207519533
2021-09-23,64125.72851151155,0.4735546587153526,21610.509613155573,85736.23812466713,104789.5964159343,0.25205805719784696,109.8219985961914
2021-09-24,64125.72851151155,0.4735546587153526,21745.444987224186,85871.17349873573,104954.86647151496,0.2532333506254499,110.32599639892578
2021-09-27,85756.13284257805,0.0,0.0,85756.13284257805,104888.86791884323,0.0,110.76399993896484
2021-09-28,85756.13284257805,0.0,0.0,85756.13284257805,104888.86791884323,0.0,110.96399688720705
2021-09-29,85756.13284257805,0.0,0.0,85756.13284257805,104888.86791884323,0.0,111.52799987792967
2021-09-30,85756.13284257805,0.0,0.0,85756.13284257805,104888.86791884323,0.0,111.93599700927734
2021-10-01,64317.09963193354,0.47263908931543985,21449.036639105783,85766.13627103932,104975.10164544433,0.250087477082123,111.46099853515624
2021-10-04,64317.09963193354,0.47263908931543985,21074.791654914705,85391.89128684824,104516.06910779065,0.24680085353912953,110.9469985961914
2021-10-05,64317.09963193354,0.47263908931543985,21298.106149337906,85615.20578127145,104789.97690455512,0.24876546116994702,110.96800231933594
2021-10-06,64317.09963193354,0.47263908931543985,21486.648073885644,85803.74770581919,105021.23418717795,0.2504161956602791,111.48699951171876
2021-10-07,64317.09963193354,0.47263908931543985,21658.02977286607,85975.1294047996,105231.44348727165,0.251910406216347,111.41300201416016
2021-10-08,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,111.66200256347656
2021-10-11,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,112.2699966430664
2021-10-12,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.38800048828124
2021-10-13,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.5189971923828
2021-10-14,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.3010025024414
2021-10-15,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.83399963378906
2021-10-18,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.3239974975586
2021-10-19,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.28500366210938
2021-10-20,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.54299926757812
2021-10-21,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.38899993896484
2021-10-22,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.8499984741211
2021-10-25,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.66400146484376
2021-10-26,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.76499938964844
2021-10-27,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.18800354003906
2021-10-28,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.7760009765625
2021-10-29,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.61599731445312
2021-11-01,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.23600006103516
2021-11-02,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.09400177001952
2021-11-03,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.96199798583984
2021-11-04,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.06999969482422
2021-11-05,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.83699798583984
2021-11-08,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.4749984741211
2021-11-09,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.25399780273438
2021-11-10,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,112.91200256347656
2021-11-11,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.90499877929688
2021-11-12,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.04299926757812
2021-11-15,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,113.9810028076172
2021-11-16,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.13200378417967
2021-11-17,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.90399932861328
2021-11-18,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.19000244140624
2021-11-19,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.28199768066406
2021-11-22,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.13800048828124
2021-11-23,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,114.79000091552734
2021-11-24,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,115.14099884033205
2021-11-26,85954.43990147099,0.0,0.0,85954.43990147099,105281.10183290418,0.0,115.06900024414062
2021-11-29,64465.829926103244,0.4279744257295449,21200.956793138925,85666.78671924217,105002.01722271132,0.2474816390933552,113.71900177001952
2021-11-30,64465.829926103244,0.4279744257295449,20803.975383812543,85269.80530991578,104514.40391618664,0.24397822075704104,113.8040008544922
2021-12-01,64465.829926103244,0.4279744257295449,20481.61048404704,84947.44041015029,104118.44226410604,0.24110921276916675,113.29900360107422
2021-12-02,63675.09229900959,0.4420354513792412,21399.487400595433,85074.57969960503,104419.29331870745,0.2515379738125792,112.88200378417967
2021-12-03,63675.09229900959,0.4420354513792412,21239.592154758546,84914.68445376813,104222.62620812442,0.25012861192839336,113.02200317382812
2021-12-06,63675.09229900959,0.4420354513792412,21494.94189045507,85170.03418946467,104536.69992835753,0.25237681415788304,113.04199981689452
2021-12-07,63675.09229900959,0.4420354513792412,22020.300143086104,85695.3924420957,105182.87729920508,0.2569601412113866,113.45800018310548
2021-12-08,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.5250015258789
2021-12-09,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.68399810791016
2021-12-10,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.447998046875
2021-12-13,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.5009994506836
2021-12-14,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.5770034790039
2021-12-15,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.74299621582033
2021-12-16,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,114.13600158691406
2021-12-17,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.66300201416016
2021-12-20,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.51799774169922
2021-12-21,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.66200256347656
2021-12-22,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,113.99400329589844
2021-12-23,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,114.12100219726562
2021-12-27,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,114.33300018310548
2021-12-28,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,114.79199981689452
2021-12-29,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,114.77300262451172
2021-12-30,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,114.947998046875
2021-12-31,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,115.06300354003906
